Wall time,Step,Value
1529247464,6657,0.508191288
1529247756,6666,0.590665877
1529247928,6672,0.648124635
1529248100,6678,0.600303292
1529248186,6681,0.659520149
1529248387,6688,0.624018431
1529248612,6696,0.597921848
1529248698,6699,0.50618571
1529249535,6711,0.557573259
1529250390,6738,0.536830664
1529250507,6742,0.586253285
1529251297,6753,0.540491164
1529254130,6832,0.500581503
1529254562,6846,0.480300635
1529255225,6854,0.552818835
1529255654,6869,0.561023772
1529258106,6934,0.471353382
1529259487,6963,0.521920681
1529259585,6966,0.546605527
1529260381,6992,0.570102453
1529261515,7014,0.569179833
1529265215,7106,0.397871345
1529265457,7114,0.450684041
1529266108,7137,0.479866892
1529267041,7155,0.470588684
1529269162,7216,0.461482555
1529270025,7247,0.452419311
1529271925,7300,0.472249746
1529272658,7311,0.421132386
1529273159,7329,0.447760493
1529273437,7339,0.48493591
1529273464,7340,0.487022012
1529274420,7359,0.407518804
1529275057,7382,0.47193408
1529276015,7401,0.417597651
1529277097,7440,0.383172035
1529277180,7443,0.426086903
1529277374,7450,0.385976464
1529278081,7460,0.334316224
1529278165,7463,0.371459693
1529278581,7478,0.445549875
1529279928,7511,0.508711934
1529280457,7530,0.375212342
1529283511,7609,0.35457769
1529284481,7644,0.337081492
1529285383,7661,0.248619229
1529285799,7676,0.41860491
1529286104,7687,0.271584302
1529286270,7693,0.260733157
1529287394,7718,0.263098747
1529287671,7728,0.350401253
1529288171,7746,0.347233921
1529288908,7757,0.318050802
1529288990,7760,0.30478707
1529289552,7780,0.2900967
1529289773,7788,0.393628031
1529290052,7798,0.370863765
1529291453,7833,0.332490265
1529291593,7838,0.296414971
1529293710,7899,0.339939713
1529293738,7900,0.449748486
1529295078,7932,0.257256418
1529296945,7983,0.299376786
1529297168,7991,0.312069088
1529298580,8026,0.303399473
1529298886,8037,0.307048649
1529299220,8049,0.334240109
1529300125,8066,0.407310575
1529304170,8180,0.380800813
1529304281,8184,0.39585045
1529304672,8198,0.389590383
1529305577,8215,0.326900482
1529305745,8221,0.313943088
1529307353,8263,0.358474612
1529307801,8279,0.356099844
1529308107,8290,0.382054031
1529309015,8307,0.345592916
1529309574,8327,0.374221653
1529309713,8332,0.321935892
1529309769,8334,0.362327337
1529309937,8340,0.309159607
1529310927,8360,0.32575196
1529311012,8363,0.312628001
1529311151,8368,0.345171869
1529311403,8377,0.305700988
1529314780,8467,0.247667909
1529314863,8470,0.197604105
1529315648,8498,0.192068666
1529316220,8503,0.199306548
1529316358,8508,0.199017346
1529318413,8566,0.249717742
1529319137,8592,0.327274173
1529319820,8601,0.320516407
1529320742,8634,0.268520236
1529320770,8635,0.265314609
1529321021,8644,0.242722034
1529322514,8682,0.276383132
1529322738,8690,0.295129061
1529322879,8695,0.281004041
1529324204,8727,0.347566664
1529325954,8774,0.313312888
1529326065,8778,0.339592338
1529327138,8801,0.257061005
1529327639,8819,0.26163879
1529327723,8822,0.280699134
1529328308,8843,0.289835751
1529329048,8854,0.278692663
1529329719,8878,0.335822463
1529329914,8885,0.382379919
1529330819,8902,0.302179098
1529330875,8904,0.252040535
1529330959,8907,0.333697557
1529331546,8928,0.302255273
1529331742,8935,0.321105629
1529332816,8958,0.300726533
1529333291,8975,0.269438297
1529333796,8993,0.347621858
1529333964,8999,0.354581326
1529334683,9009,0.330886453
1529335229,9028,0.285771072
1529336468,9055,0.285859495
1529336705,9063,0.311519355
1529337331,9084,0.306441098
1529340273,9155,0.30000481
1529342812,9226,0.283374548
1529343007,9233,0.175200716
1529344216,9260,0.414048046
1529344824,9281,0.309663147
1529346110,9307,0.174689725
1529346388,9316,0.177908644
1529347313,9348,0.218744501
1529348328,9369,0.219407961
1529349954,9412,0.255322039
1529350037,9415,0.311756402
1529350593,9435,0.214355618
1529350789,9442,0.193994403
1529351940,9468,0.237135068
1529354320,9538,0.312459797
1529354570,9547,0.195995435
1529355192,9554,0.282444179
1529355553,9567,0.29162699
1529356165,9589,0.208146811
1529356472,9600,0.229677781
1529357651,9627,0.24498789
1529358746,9651,0.222266138
1529358913,9657,0.318726927
1529359551,9680,0.275483489
1529360051,9698,0.304041177
1529362606,9759,0.253664464
1529362856,9768,0.247482911
1529364509,9812,0.244275585
1529365288,9840,0.274079204
1529365371,9843,0.217564091
1529366910,9883,0.23697862
1529368004,9907,0.336354136
1529370246,9972,0.311319947
1529372847,10050,0.213360652
1529373416,10055,0.213543668
1529373499,10058,0.16402103
1529373889,10072,0.313105345
1529374222,10084,0.300469398
1529375290,10107,0.133158877
1529375457,10113,0.134082288
1529375875,10128,0.146963015
1529376321,10144,0.211713657
1529377418,10168,0.339957088
1529377891,10185,0.27527535
1529379990,10245,0.202403262
1529380731,10256,0.238113806
1529381291,10276,0.212459534
1529381487,10283,0.249492407
1529381627,10288,0.238209978
1529385505,10396,0.226351857
1529385589,10399,0.192093134
1529386598,10420,0.21871081
1529386737,10425,0.22048007
1529388517,10468,0.328354806
1529388842,10479,0.238247097
1529389159,10489,0.308835447
1529389282,10493,0.297998905
1529390584,10522,0.28154847
1529390839,10531,0.21805729
1529391918,10554,0.229395583
